Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5
1,spline_5_points_1,115.337487,94.499998,6.999993,114.823433,94.56758,6.269983,114.314864,94.781602,5.526631,113.872568,95.138416,4.832158,113.524866,95.654764,4.18848
2,spline_5_points_2,113.524866,95.654764,4.18848,113.2413,96.262873,3.684088,112.917037,96.958259,3.30906,112.564725,97.713792,3.078026,112.198112,98.499998,3.0
3,Line,112.198112,98.499998,3.0,105.664253,112.511902,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,3_point_arc_1,105.664253,112.511902,3.0,102.859792,115.709782,3.0,98.776312,116.900005,3.0,NA,NA,NA,NA,NA,NA
5,Line,98.776312,116.900005,3.0,94.650002,116.900005,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,3_point_arc_2,94.650002,116.900005,3.0,93.660045,117.310052,3.0,93.249998,118.300009,3.0,NA,NA,NA,NA,NA,NA
7,Line,93.249998,118.300009,3.0,93.249998,124.499998,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,3_point_arc_3,93.249998,124.499998,3.0,93.835783,125.914221,3.0,95.250006,126.500006,3.0,NA,NA,NA,NA,NA,NA
9,Line,95.250006,126.500006,3.0,109.56316,126.500006,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,3_point_arc_4,109.56316,126.500006,3.0,110.637762,126.186788,3.0,111.37578,125.34524,3.0,NA,NA,NA,NA,NA,NA
11,Line,111.37578,125.34524,3.0,119.894208,107.077379,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Line,119.894208,107.077379,3.0,122.028673,102.500006,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
