Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,146.949997,94.5,-1.0,142.149992,94.5,-1.0,NA,NA,NA
2,Line,146.949997,94.5,0.0,146.949997,94.5,-1.0,NA,NA,NA
3,Line,146.550007,94.5,0.4,146.949997,94.5,0.0,NA,NA,NA
4,Line,146.550007,94.5,1.6,146.550007,94.5,0.4,NA,NA,NA
5,Line,146.149998,94.5,2.0,146.550007,94.5,1.6,NA,NA,NA
6,Line,142.950001,94.5,2.0,146.149998,94.5,2.0,NA,NA,NA
7,Line,142.550001,94.5,1.6,142.950001,94.5,2.0,NA,NA,NA
8,Line,142.550001,94.5,1.6,142.550001,94.5,0.4,NA,NA,NA
9,Line,142.149992,94.5,0.0,142.550001,94.5,0.4,NA,NA,NA
10,Line,142.149992,94.5,0.0,142.149992,94.5,-1.0,NA,NA,NA
11,Line,125.349998,94.5,12.799038,127.349997,94.5,12.799038,NA,NA,NA
12,Line,128.35001,94.5,13.799038,128.35001,94.5,15.0,NA,NA,NA
13,Line,128.35001,94.5,15.0,128.35001,94.5,15.2,NA,NA,NA
14,Line,128.35001,94.5,15.2,124.350004,94.5,15.2,NA,NA,NA
15,Line,124.350004,94.5,15.0,124.350004,94.5,15.2,NA,NA,NA
16,Line,124.350004,94.5,13.799038,124.350004,94.5,15.0,NA,NA,NA
17,Line,125.349998,94.5,12.799038,127.349997,94.5,12.799038,NA,NA,NA
18,3_point_arc_1,127.349997,94.5,12.799038,128.057107,94.5,13.091932,128.35001,94.5,13.799038
19,3_point_arc_2,125.349998,94.5,12.799038,124.642893,94.5,13.091931,124.350004,94.5,13.799038
