Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,87.85,124.499998,15.0,87.85,124.499998,14.9,NA,NA,NA
2,Line,87.85,124.499998,14.9,87.85,131.500006,14.9,NA,NA,NA
3,Line,87.85,131.500006,14.9,87.85,131.500006,15.0,NA,NA,NA
4,Line,87.85,131.500006,17.52858,87.85,131.500006,15.0,NA,NA,NA
5,Line,87.85,131.500006,20.0,87.85,131.500006,17.52858,NA,NA,NA
6,Line,87.85,131.500006,21.000004,87.85,131.500006,20.0,NA,NA,NA
7,Line,87.85,131.500006,21.000004,87.85,130.499999,21.000004,NA,NA,NA
8,Line,87.85,129.499998,21.000001,87.85,130.499999,21.000004,NA,NA,NA
9,Line,87.85,126.500006,17.0,87.85,126.500006,18.000001,NA,NA,NA
10,3_point_arc_1,87.85,126.500006,18.000001,87.85,127.378683,20.121319,87.85,129.499998,21.000001
11,3_point_arc_2,87.85,126.500006,17.0,87.85,125.914215,15.585786,87.85,124.499998,15.0
