Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,3_point_circle_1,167.999997,155.0,0.8,148.500001,166.258328,0.8,148.500001,143.741672,0.8
2,Line,151.378403,162.746582,0.8,154.909716,162.746582,0.8,NA,NA,NA
3,Line,146.352005,155.100164,0.8,151.378403,162.746582,0.8,NA,NA,NA
4,Line,146.352005,155.100164,0.8,149.883986,155.100164,0.8,NA,NA,NA
5,Line,149.883986,155.100164,0.8,154.909716,162.746582,0.8,NA,NA,NA
6,Line,158.326921,162.746582,0.8,161.857872,162.746582,0.8,NA,NA,NA
7,Line,148.141985,147.253418,0.8,158.326921,162.746582,0.8,NA,NA,NA
8,Line,148.141985,147.253418,0.8,151.673269,147.253418,0.8,NA,NA,NA
9,Line,151.673269,147.253418,0.8,161.857872,162.746582,0.8,NA,NA,NA
10,Line,160.116882,154.900179,0.8,163.64851,154.900179,0.8,NA,NA,NA
11,Line,155.090151,147.253418,0.8,160.116882,154.900179,0.8,NA,NA,NA
12,Line,155.090151,147.253418,0.8,158.622122,147.253418,0.8,NA,NA,NA
13,Line,158.622122,147.253418,0.8,163.64851,154.900179,0.8,NA,NA,NA
