Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,24.999995,33.256681,-25.993,24.999995,40.924182,-25.993,NA,NA,NA
2,Line,28.999994,44.924183,-25.993,69.343467,44.924183,-25.993,NA,NA,NA
3,Line,72.171898,43.752613,-25.993,74.828753,41.095757,-25.993,NA,NA,NA
4,Line,76.000328,27.569935,-25.993,76.000328,38.267331,-25.993,NA,NA,NA
5,Line,75.000329,-11.430725,-25.993,75.000329,23.696954,-25.993,NA,NA,NA
6,Line,76.000328,-18.418963,-25.993,76.000328,-15.303708,-25.993,NA,NA,NA
7,Line,72.171898,-23.904245,-25.993,74.828753,-21.247389,-25.993,NA,NA,NA
8,Line,58.227558,-25.075815,-25.993,69.343467,-25.075815,-25.993,NA,NA,NA
9,Line,27.645745,-24.075816,-25.993,54.354572,-24.075816,-25.993,NA,NA,NA
10,Line,12.656848,-25.075815,-25.993,23.772762,-25.075815,-25.993,NA,NA,NA
11,Line,7.171567,-21.247389,-25.993,9.828421,-23.904245,-25.993,NA,NA,NA
12,Line,5.999994,-18.418963,-25.993,5.999994,21.923854,-25.993,NA,NA,NA
13,Line,9.999995,25.923853,-25.993,18.64138,25.923853,-25.993,NA,NA,NA
14,Line,19.404763,25.569801,-25.993,43.564773,-2.982577,-25.993,NA,NA,NA
15,Line,25.236614,32.610734,-25.993,50.435214,2.830946,-25.993,NA,NA,NA
16,3_point_arc_1,25.236614,32.610734,-25.993,25.061011,32.91272,-25.993,24.999995,33.256681,-25.993
17,3_point_arc_2,24.999995,40.924182,-25.993,26.171567,43.752609,-25.993,28.999994,44.924183,-25.993
18,3_point_arc_3,69.343467,44.924183,-25.993,70.874202,44.619703,-25.993,72.171898,43.752613,-25.993
19,3_point_arc_4,74.828753,41.095757,-25.993,75.695845,39.798065,-25.993,76.000328,38.267331,-25.993
20,3_point_arc_5,76.000328,27.569935,-25.993,75.873311,26.569936,-25.993,75.500329,25.633445,-25.993
21,3_point_arc_6,75.500329,25.633445,-25.993,75.127346,24.696954,-25.993,75.000329,23.696954,-25.993
22,3_point_arc_7,75.000329,-11.430725,-25.993,75.127345,-12.430725,-25.993,75.500329,-13.367218,-25.993
23,3_point_arc_8,75.500329,-13.367218,-25.993,75.873312,-14.303709,-25.993,76.000328,-15.303708,-25.993
24,3_point_arc_9,76.000328,-18.418963,-25.993,75.695845,-19.949696,-25.993,74.828753,-21.247389,-25.993
25,3_point_arc_10,72.171898,-23.904245,-25.993,70.874202,-24.771335,-25.993,69.343467,-25.075815,-25.993
26,3_point_arc_11,58.227558,-25.075816,-25.993,57.227557,-24.948799,-25.993,56.291065,-24.575815,-25.993
27,3_point_arc_12,56.291065,-24.575815,-25.993,55.354573,-24.202832,-25.993,54.354572,-24.075817,-25.993
28,3_point_arc_13,27.645745,-24.075816,-25.993,26.645746,-24.202832,-25.993,25.709255,-24.575815,-25.993
29,3_point_arc_14,25.709255,-24.575815,-25.993,24.772762,-24.948798,-25.993,23.772762,-25.075815,-25.993
30,3_point_arc_15,12.656848,-25.075815,-25.993,11.126115,-24.771334,-25.993,9.828421,-23.904245,-25.993
31,3_point_arc_16,7.171567,-21.247389,-25.993,6.304476,-19.949696,-25.993,5.999994,-18.418963,-25.993
32,3_point_arc_17,5.999994,21.923854,-25.993,7.171567,24.752281,-25.993,9.999995,25.923853,-25.993
33,3_point_arc_18,18.64138,25.923853,-25.993,19.062125,25.831033,-25.993,19.404763,25.569801,-25.993
34,3_point_arc_19,43.564773,-2.982577,-25.993,49.906755,-3.511037,-25.993,50.435214,2.830946,-25.993
35,3_point_circle_1,59.399134,35.924186,-25.993,56.774134,37.43973,-25.993,56.774134,34.408641,-25.993
36,3_point_circle_2,59.399133,-10.724953,-25.993,56.774133,-9.209408,-25.993,56.774133,-12.240497,-25.993
37,3_point_circle_3,16.749994,-10.724954,-25.993,14.124994,-9.20941,-25.993,14.124994,-12.240499,-25.993
38,3_point_circle_4,39.100518,-9.575292,-25.993,36.700519,-8.189652,-25.993,36.700519,-10.960932,-25.993
39,3_point_circle_5,58.099471,9.423663,-25.993,55.699471,10.809303,-25.993,55.699471,8.038022,-25.993
40,Line,36.824563,34.192135,-25.993,42.824564,34.192135,-25.993,NA,NA,NA
41,Line,39.824562,39.388287,-25.993,36.824563,34.192135,-25.993,NA,NA,NA
42,Line,42.824564,34.192135,-25.993,39.824562,39.388287,-25.993,NA,NA,NA
