Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,27.010701,30.204489,-25.993,47.711701,5.739979,-25.993,NA,NA,NA
2,Line,21.081359,23.898015,-25.993,41.146617,0.184835,-25.993,NA,NA,NA
3,Line,25.599995,26.814773,-25.993,25.599995,29.687731,-25.993,NA,NA,NA
4,Line,21.692066,25.214772,-25.993,23.999994,25.214772,-25.993,NA,NA,NA
5,3_point_arc_1,41.146617,0.184835,-25.993,41.976502,-0.067795,-25.993,42.548666,0.584247,-25.993
6,3_point_arc_2,42.548666,0.584247,-25.993,44.093234,3.359406,-25.993,47.085755,4.423369,-25.993
7,3_point_arc_3,47.085755,4.423369,-25.993,47.823501,4.879727,-25.993,47.711701,5.739979,-25.993
8,3_point_arc_4,27.010701,30.204489,-25.993,26.124827,30.438918,-25.993,25.599995,29.687731,-25.993
9,3_point_arc_5,25.599995,26.814773,-25.993,25.131364,25.683402,-25.993,23.999994,25.214772,-25.993
10,3_point_arc_6,21.692066,25.214772,-25.993,20.966324,24.751368,-25.993,21.081359,23.898015,-25.993
11,3_point_circle_1,38.318021,11.484701,-25.993,36.668021,12.437329,-25.993,36.668021,10.532073,-25.993
